"Name","Start","End","Length","R","W","X","Volatile","Overlay","Type","Initialized","Byte Source","Source","Comment"
"boot","80000200","8000432b","0x412c","true","false","true","false","false","Default","true","File: 2023-08-07_8BitKing: 0x0","Binary Loader",""
"text","8000432c","802a5c2f","0x2a1904","true","false","true","false","false","Default","true","File: 2023-08-07_8BitKing: 0x412c","",""
"rodata","802a5c30","803c3efb","0x11e2cc","true","false","false","false","false","Default","true","File: 2023-08-07_8BitKing: 0x2a5a30","",""
"data","803c3efc","803db963","0x17a68","true","true","false","false","false","Default","true","File: 2023-08-07_8BitKing: 0x3c3cfc","",""
"init","803db964","803dba87","0x124","true","true","false","false","false","Default","true","File: 2023-08-07_8BitKing: 0x3db764","",""
"sdata","803dba88","803dc03f","0x5b8","true","true","false","false","false","Default","true","File: 2023-08-07_8BitKing: 0x3db888","",""
"sbss","803dc040","803de5c7","0x2588","true","true","false","false","false","Default","false","","",""
"bss","803de5c8","8089ac73","0x4bc6ac","true","true","false","false","false","Default","false","","",""
"lcfg","80f00000","80f001ff","0x200","true","true","false","false","false","Default","true","File: 2023-08-07_8BitKing: 0x0","",""
"reg","b8800000","b8ffffff","0x800000","true","true","false","true","false","Default","false","","",""
