"Location","Name"
"80000200","__RAM_BASE"
"80001000","_start"
"800012f8","_invalidate_cache"
"80001494","_exit"
"80002180","INT_General_Exception"
"80002190","disable_fast_resume"
"800021a4","get_boot_cfg_addr"
"800021dc","g_see_exception_handler"
"800021e0","exec"
"80003000","sys_ic_reboot"
"800030d4","sys_watchdog_reboot"
"80003284","sys_ic_get_chip_id"
"80003390","sys_ic_get_rev_id"
"800037cc","sys_ic_get_half_mode_strap_pin"
"800037fc","sys_ic_set_half_mode_strap_pin"
"80003838","is_bl_encrypted_enable"
"80003b54","hw_watchdog_reboot"
"80004000","sys_reboot_get_exchange_data"
"80004034","sys_reboot_clear_exchange_data"
"80004068","sflash_soft_protect_init"
"80005da0","osal_tds2_cache_flush_all"
"80005dcc","osal_tds2_cache_flush"
"80005e28","osal_tds2_cache_invalidate"
"80005e54","osal_tds2_load_icache"
"80007334","dsc_api_attach"
"8001b2a0","os_task_dispatch"
"8001b380","sched"
"8001b3e0","timer_irq"
"8001b540","INT_General_Exception_Hdlr"
"8001ba50","sys_timer_init"
"8001ba80","first_dispatch"
"8001bd64","irq_disable_interrupt"
"8001bdb4","irq_enable_interrupt"
"8001bdf4","setup_task_stack"
"8001bee4","set_stack"
"8001bf88","read_tsc"
"8001c970","cpu_suspend"
"800203f0","F22_nes"
"8005c94c","log"
"8005cc88","log10"
"8005d6a0","pow"
"8005defc","floor"
"8005eb90","sin"
"8006053c","__fixunsdfsi"
"8006062c","__fixdfdi"
"800606b0","__divdi3"
"80060b6c","__moddi3"
"80061040","__udivdi3"
"800614c0","__umoddi3"
"80065450","__fixunsdfdi"
"800655b4","strcat"
"80065650","strncmp"
"80065728","strncpy"
"800657f8","strchr"
"80065888","strrchr"
"800658a8","strstr"
"800658fc","strcasecmp"
"8006597c","strncasecmp"
"800659dc","memchr"
"80065ac4","exit"
"80065b58","tolower"
"80065b78","toupper"
"80065b98","isalnum"
"80065bb0","isalpha"
"80065bc8","isascii"
"80065bd0","iscntrl"
"80065be8","isdigit"
"80065c00","isgraph"
"80065c18","islower"
"80065c30","isprint"
"80065c48","ispunct"
"80065c60","isspace"
"80065c78","isupper"
"80065c90","isxdigit"
"80065ca8","toascii"
"80065cb0","_tolower"
"80065cb8","_toupper"
"80065cf8","isnan"
"80065d44","isinf"
"80065d94","strtol"
"80065f84","strtoul"
"80066160","strtoull"
"80066458","puts"
"800664a0","abort"
"800664ac","__divdf3"
"8006696c","__muldf3"
"80066e30","__adddf3"
"80067334","__subdf3"
"80067340","__fixdfsi"
"800674b8","__floatsidf"
"80067564","__floatsisf"
"800678fc","__addsf3"
"80068100","__eqdf2"
"800682a0","__ledf2"
"80068d10","__orderdf2"
"80068df4","ali_chip_delay_ms"
"80068e3c","api_audio_set_volume"
"80068e60","api_audio_set_mute"
"80068fa0","api_osd_set_tv_system"
"80068fe0","ap_get_osd_scale_param"
"800690f0","set_osd_pos_for_tv_system"
"80069244","api_get_chunk_add_len"
"800692b0","show_logo_"
"80069384","show_logo"
"80069db0","sys_data_factroy_init"
"8006a188","sys_data_get"
"8006a194","sys_data_load"
"8006a44c","sys_data_set_display_mode"
"8006a568","sys_data_get_tv_mode"
"8006a5ec","sys_data_is_progressive"
"8006a634","tv_mode_to_sys_data"
"8006a82c","sys_data_to_tv_mode"
"8006a950","sys_data_set_brightness"
"8006a9c0","sys_data_set_contrast"
"8006aa40","sys_data_set_saturation"
"8006aab4","sys_data_set_sharpness"
"8006ab28","sys_data_set_hue"
"8006ab9c","tvsys_hd_to_sd"
"8006abf0","sys_data_get_scart_out"
"8006abf8","sys_data_vpo_dac_unreg"
"8006ac4c","sys_data_vpo_dac_reg"
"8006ad74","sys_data_get_sd_tv_system"
"8006adc0","switch_tv_mode"
"8006afa0","sys_data_set_tv_mode"
"8006b1d0","sys_data_set_audio_output"
"8006b418","sw_tvmode_to_res"
"8006b5b4","sys_set_edid_result_to_video"
"8006b698","sys_data_set_video_format"
"8006b948","sys_data_check_av_set"
"8006b984","sys_data_check_peg_field"
"8006baec","sys_data_register_check_function"
"8006bbf0","board_power"
"8006bc40","board_sci_init"
"8006bcdc","board_i2c_init"
"8006be1c","set_board_cfg"
"8006be24","get_board_cfg"
"8006be44","chip_pin_mux_set_ext"
"8006be84","chip_gpio_pin_init_ext"
"8006bf04","chip_init"
"8006bf3c","global_chip_set"
"8006c3e4","h1512_gpio_pinmux_sel"
"8006cc9c","chip_create"
"8006cd5c","sd_enable_8006cd5c"
"8006d22c","ge_dev_attach"
"8006d544","board_advance_init"
"8006d5b8","advance_cfg"
"8006d674","get_board_config"
"8006d7ec","scan_code_to_msg_code"
"8006d92c","code_size_footprint_8006d92c"
"8006dad4","ap_task_init"
"8006db8c","ap_clear_all_message"
"8006dbbc","ap_send_msg"
"8006dc2c","ap_osd_int"
"8006ddf4","api_set_tv_mode_pre"
"8006de00","dm_get_vdec_running"
"8006de38","api_video_set_tvout"
"8006defc","change_tvsys_mode_at_auto"
"8006e120","ap_control_init"
"8006e168","ap_control_loop"
"8006e184","ap_control_task"
"8006e274","system_init_process"
"8006e490","api_stop_play"
"8006e4cc","cb_vdec_output_mode_check"
"8006e574","api_set_system_state"
"8006e610","dm_init"
"8006ea70","fs_apcallback"
"8006f278","vpo_is_open"
"8006f28c","set_boot_vpo_active"
